#!bxdecay0 1.0.0
#@run_info_start
#@seed=314159
#@activity=2 Bq
#@nevents=20000
#@category=1
#@nuclide=Xe136
#@daughter_level=3
#@mode_bb=1
#@min_energy=2 MeV
#@max_energy=4.3 MeV
#@toallevents=1
#@run_info_stop
#
# Format of an event (time in second,  momentum in MeV/c):
#
#   #@event_start
#   event-time nuclide
#   number-of-particles
#   code1 time1 px1 py1 pz1 name
#   ...
#   codeN timeN pxN pyN pzN name
#   #@event_stop
#

#@event_start
0.362590115429485 Xe136
4
3  0 0.179577328030868 0.114750777167078 -0.185762954920053 electron
3  0 1.19729595540438 -0.0094248136612238 0.199462722574518 electron
1  0 -0.524633529129097 0.531605006687618 0.1458656127338 gamma
1  1.16264064796429e-11 0.426681699471582 0.689998707585576 0.112274266269157 gamma
#@event_stop

#@event_start
0.280154258621412 Xe136
4
3  0 0.56869895904018 -1.05671481620717 0.224413214504668 electron
3  0 0.202344084536772 0.0948474329593257 0.149970736481733 electron
1  0 -0.0559362006677911 -0.236791491064975 -0.721056122097357 gamma
1  1.15260730982753e-12 -0.382440901881933 0.65378450053206 -0.311553821083579 gamma
#@event_stop

#@event_start
0.109331773284501 Xe136
4
3  0 0.852420345649617 -0.229921999257704 -0.537867316889016 electron
3  0 -0.462825770160128 -0.160160693237083 -0.241246242145069 electron
1  0 -0.632611748341215 0.194310333874166 0.375721798689378 gamma
1  3.84827239688545e-13 0.135290889388438 0.15233818625534 0.793253082097333 gamma
#@event_stop

#@event_start
0.0792718132818725 Xe136
4
3  0 0.461754800611117 -0.343694697134118 0.197250873528123 electron
3  0 0.775461437670918 -0.213162709729434 0.56235450241505 electron
1  0 0.25008824992079 0.19329697286952 0.692252228260073 gamma
1  3.52948592397389e-12 0.283783524963807 -0.595413283630088 0.485500703023129 gamma
#@event_stop

#@event_start
0.0724548881708753 Xe136
4
3  0 0.0465272422813409 0.961171889058972 -0.391268513852863 electron
3  0 -0.52956447852682 -0.0736522530427061 -0.0744032356632852 electron
1  0 -0.216271722378436 0.346439971332464 -0.642126847564114 gamma
1  2.50557048449776e-12 0.322536499814851 0.750879928625218 -0.053949412183757 gamma
#@event_stop

#@event_start
0.808515481308339 Xe136
4
3  0 0.551316813739676 -0.623818092886744 -0.155465151222284 electron
3  0 -0.22109541163306 0.712078559596951 0.12014432258548 electron
1  0 -0.257745205023742 -0.0637043157057274 0.713183124763713 gamma
1  1.29061335258357e-11 -0.129512905980607 0.672455154694047 -0.449212056950684 gamma
#@event_stop

#@event_start
0.895287221932244 Xe136
4
3  0 0.179084766519516 -0.735850136382461 0.189933993805981 electron
3  0 -0.36096028812679 0.427084219142442 0.602449068250543 electron
1  0 -0.0313069133853402 -0.715708876530802 0.256713227608747 gamma
1  5.36251536382673e-12 0.0249193032497757 0.194308279129815 0.795225955931492 gamma
#@event_stop

#@event_start
0.235011959039563 Xe136
4
3  0 0.231994802434486 -0.40358207154507 0.849794902352316 electron
3  0 -0.465089999858474 -0.364048610182097 -0.197424593025198 electron
1  0 0.233745328213558 -0.600621220730673 0.4046458584322 gamma
1  6.56897000678807e-12 -0.229313972289571 0.599126269620354 -0.509140270616632 gamma
#@event_stop

#@event_start
0.00453237732638036 Xe136
4
3  0 -0.539780321680958 -0.212587407641717 -0.209293797806991 electron
3  0 0.513107988140788 -0.727557218120893 0.395502853476925 electron
1  0 0.692677802023714 0.0313379300267841 -0.313586346522347 gamma
1  2.82555638951283e-12 0.51207474121681 -0.20236661966941 -0.606290533202781 gamma
#@event_stop

#@event_start
0.0893976976182181 Xe136
4
3  0 -0.0991994329008635 -0.402438751906291 -0.624450689484414 electron
3  0 0.774721964548749 -0.211199471235397 -0.286157054397966 electron
1  0 0.433320186556209 -0.25641097540131 -0.57062073885957 gamma
1  6.86519005571078e-13 -0.224540893603038 -0.784976366486361 -0.0644553423528191 gamma
#@event_stop

#@event_start
0.727393066699517 Xe136
4
3  0 -0.00623740031664886 -0.630845784232577 -0.638760638520037 electron
3  0 -0.36435126607328 -0.278388000326406 0.531042088145155 electron
1  0 -0.602582472431424 0.130092460253052 -0.446196498981939 gamma
1  3.98055871450498e-13 0.658414581538045 -0.486866534607508 0.0145676455667092 gamma
#@event_stop

#@event_start
0.094906169033996 Xe136
4
3  0 -0.327967875823131 0.379075515637916 -0.49435059694377 electron
3  0 0.200128105175613 -0.81780135115506 0.305202033326521 electron
1  0 -0.364319773193067 -0.0613171582798964 0.66530617685471 gamma
1  1.4559070516524e-12 -0.0218519901315877 -0.817317613805956 -0.0477012441119353 gamma
#@event_stop

#@event_start
0.731358826789866 Xe136
4
3  0 -0.991360670649347 0.0662821903176032 -0.0694328889557527 electron
3  0 0.555294261175513 0.112825994153525 -0.169241111175037 electron
1  0 0.657774111071631 -0.31976630629708 -0.210246826756191 gamma
1  4.89203305444881e-13 -0.259854057226715 -0.312483670409634 -0.711049101448092 gamma
#@event_stop

#@event_start
0.763328276655263 Xe136
4
3  0 0.625958425426663 -0.472976208843181 -0.885122113253459 electron
3  0 -0.247903494013682 0.0834395425135714 -0.213734538340073 electron
1  0 -0.33384470781174 -0.682324720774389 -0.0458441543301375 gamma
1  4.28247406389498e-12 0.524898675926789 0.620924025916663 0.0984669185551468 gamma
#@event_stop

#@event_start
1.37748029544178 Xe136
4
3  0 -0.0485929576325028 0.202919451250196 -0.0556767763524232 electron
3  0 -0.431973397723959 0.936226794229929 0.698654539582127 electron
1  0 -0.692273513908468 0.312983951763267 0.0438112757115179 gamma
1  1.23269768329326e-13 -0.691165633668655 0.195205332499922 0.393631737794352 gamma
#@event_stop

#@event_start
0.0999004484679702 Xe136
4
3  0 -0.317088354932853 -0.140541722241911 -0.304551895164975 electron
3  0 0.93414737751638 0.573215375297906 -0.0870852731145072 electron
1  0 -0.371366447703513 -0.557042941569791 -0.361816421362199 gamma
1  1.36764534402527e-12 -0.444764349504567 0.443948163682211 -0.525219669636402 gamma
#@event_stop

#@event_start
0.101968060057068 Xe136
4
3  0 0.655711306510462 -0.262823429364569 -0.677501590828534 electron
3  0 0.162539310334456 0.284363895509972 0.516289094928367 electron
1  0 0.275492301709239 0.561043831048333 0.434113823025201 gamma
1  4.96004821974366e-12 -0.537501660308825 -0.451488353532984 -0.421913772931545 gamma
#@event_stop

#@event_start
0.00773875694538955 Xe136
4
3  0 -0.589079393928422 0.417391111931559 0.593765752514661 electron
3  0 0.647304879313247 -0.000511143958157594 0.135030534846146 electron
1  0 0.5234132856742 -0.4888687128325 -0.257229302361206 gamma
1  2.96947911725767e-12 -0.481324554067263 0.527889309790483 -0.400525342844717 gamma
#@event_stop

#@event_start
1.3731876670807 Xe136
4
3  0 0.589011128079143 -0.554953670676532 0.401511414709506 electron
3  0 -0.448429828836782 0.527453547101289 0.0672272161424337 electron
1  0 -0.68090133941677 0.257396731912859 0.221903781808755 gamma
1  4.62804760235717e-12 -0.540738667336036 -0.0632865411390267 0.61184761775977 gamma
#@event_stop

#@event_start
0.413450125920285 Xe136
4
3  0 0.14440913865734 0.31067558296217 -0.410098796616528 electron
3  0 -0.0870305867830153 0.915711912192984 0.492084538491674 electron
1  0 -0.100779805792006 0.508298948764345 0.557311949835626 gamma
1  1.7414607591643e-12 0.471410173127339 0.235645036572737 -0.626901001283844 gamma
#@event_stop

#@event_start
0.17605472631673 Xe136
4
3  0 -0.471954772642056 0.000293632978947753 -0.221982599300692 electron
3  0 -0.945301165251227 -0.459584468338333 -0.0701651062982047 electron
1  0 -0.735812041495055 0.163164319222664 0.105257040256149 gamma
1  7.83522181665666e-12 -0.780705636209537 -0.113825846585513 0.219780313585527 gamma
#@event_stop

#@event_start
0.198580352147933 Xe136
4
3  0 -0.355846562724795 0.16143892109995 0.173493788960346 electron
3  0 0.944960022253319 -0.177676990059872 0.582174001230506 electron
1  0 0.0151300234949076 0.743876133595278 0.159813579699547 gamma
1  5.10924146544725e-12 -0.793734261964379 0.163352912942505 -0.118586454610388 gamma
#@event_stop

#@event_start
0.939925919109462 Xe136
4
3  0 0.305737961932453 0.414942706326422 0.465740641277528 electron
3  0 0.170149414189974 -0.761092293540164 0.457612700650135 electron
1  0 -0.0448911247989597 -0.664083944707523 -0.368915032624017 gamma
1  1.42853227051697e-11 -0.515774047998013 -0.184497632267802 0.608850355259252 gamma
#@event_stop

#@event_start
0.918204187355661 Xe136
4
3  0 0.314580001857222 -0.257494992463367 -0.100209200087562 electron
3  0 -1.04453068382944 0.375060293746047 -0.213750783271331 electron
1  0 0.553326162690394 -0.201860299733222 0.481875063760242 gamma
1  2.84381970132736e-12 0.326559147528157 -0.214166456945123 0.719897806556775 gamma
#@event_stop

#@event_start
0.253294333439549 Xe136
4
3  0 0.97268413331291 -0.548527001346254 0.0297566642438386 electron
3  0 0.253952112279119 0.115248310086466 -0.33686058296187 electron
1  0 0.679960632902585 0.30915492938104 0.145594530605101 gamma
1  1.59496600543899e-13 0.57783156653579 -0.578812543993348 0.0429851094071234 gamma
#@event_stop

#@event_start
0.15455875413572 Xe136
4
3  0 0.963283891136212 0.0523214450373543 0.763471996332505 electron
3  0 -0.00766360365994921 -0.241187559574155 0.064970728354113 electron
1  0 0.616110092625141 -0.389787090780258 0.218163648728433 gamma
1  3.22536520135618e-13 0.539124097294273 0.475164220605854 0.39284242537265 gamma
#@event_stop

#@event_start
0.189657648005203 Xe136
4
3  0 0.675046085097988 0.461962214867276 -0.232164415395002 electron
3  0 0.299950516811177 0.275634599186453 -0.631794701983648 electron
1  0 -0.537594273175586 -0.506174560970446 -0.184121457943362 gamma
1  1.39769758113065e-12 0.662521248064355 0.441454833532121 -0.192208807848073 gamma
#@event_stop

#@event_start
0.0446872368699631 Xe136
4
3  0 -1.11992755786846 -0.0420049048013924 0.369091750060672 electron
3  0 -0.133301089422342 0.0701697608183494 -0.307607821811876 electron
1  0 0.681442159661148 -0.0129946198906852 0.33850956100271 gamma
1  4.29954476941617e-14 -0.320443096805268 -0.484953009267396 -0.576972963415398 gamma
#@event_stop

#@event_start
0.892375144816435 Xe136
4
3  0 -0.933838493079584 0.319242862271368 0.250507324085098 electron
3  0 -0.00529930649897931 0.205305278230398 -0.526301012792972 electron
1  0 0.572947120004523 0.43191375135548 -0.253580577072772 gamma
1  4.11986605647866e-13 -0.0239295200692841 0.811471263555308 0.10817932562743 gamma
#@event_stop

#@event_start
0.354958182610483 Xe136
4
3  0 -0.923158506291441 0.410230265568101 0.501746884868539 electron
3  0 0.250743104039055 0.229148751703138 0.250341642109065 electron
1  0 -0.498587101233657 0.294516391409486 -0.493752972319715 gamma
1  2.29343953909744e-12 -0.175855607499603 0.353750088902238 -0.717423640475141 gamma
#@event_stop

#@event_start
0.328066908727809 Xe136
4
3  0 -0.259729078017851 0.211904524452876 0.708831097548212 electron
3  0 -0.736630080552946 -0.327570976109179 -0.142659607632959 electron
